dataset,model,seed,test_error,low_conflict_error,high_conflict_error,high_res_error,low_res_error,mean_conflict,mean_stability,mean_res,sef_triage_error_10,confidence_triage_error_10,sef_triage_error_20,confidence_triage_error_20,sef_triage_error_30,confidence_triage_error_30
Breast cancer,Random forest,10.0,0.06,0.0,0.18,0.0,0.18,0.24785277070111988,0.9834534306741588,0.7408805847285099,0.022222222222222223,0.022222222222222223,0.01875,0.0125,0.007142857142857143,0.007142857142857143
Breast cancer,Gradient boosting,10.0,0.02,0.0,0.06,0.0,0.06,0.25366809883696584,0.9821852445107107,0.734589768426572,0.011111111111111112,0.016666666666666666,0.00625,0.00625,0.007142857142857143,0.007142857142857143
Breast cancer,Random forest,11.0,0.06,0.0,0.18,0.0,0.18,0.24489167167861772,0.9898123338171166,0.7478202850942179,0.03333333333333333,0.022222222222222223,0.01875,0.0125,0.02142857142857143,0.014285714285714285
Breast cancer,Gradient boosting,11.0,0.035,0.0,0.1,0.0,0.1,0.2378050548615012,0.9920391493548795,0.7573089503725555,0.022222222222222223,0.016666666666666666,0.0125,0.01875,0.014285714285714285,0.014285714285714285
Breast cancer,Random forest,12.0,0.055,0.0,0.18,0.0,0.18,0.25208188701388523,0.9878130030763381,0.7395789262474958,0.03333333333333333,0.016666666666666666,0.025,0.00625,0.014285714285714285,0.007142857142857143
Breast cancer,Gradient boosting,12.0,0.03,0.0,0.1,0.0,0.1,0.2730993173246669,0.9903123486085507,0.720941123049366,0.011111111111111112,0.016666666666666666,0.00625,0.0,0.007142857142857143,0.0
Breast cancer,Random forest,13.0,0.06,0.0,0.14,0.0,0.14,0.2681385935120504,0.9894619366477319,0.7243087887068653,0.05,0.027777777777777776,0.0375,0.00625,0.02857142857142857,0.0
Breast cancer,Gradient boosting,13.0,0.05,0.0,0.18,0.0,0.18,0.2984068202663447,0.9905625161452245,0.6957468780333923,0.03333333333333333,0.011111111111111112,0.0125,0.00625,0.0,0.0
Breast cancer,Random forest,14.0,0.045,0.0,0.06,0.0,0.06,0.30165492576126923,0.9848395780647963,0.6888379082813225,0.044444444444444446,0.005555555555555556,0.04375,0.00625,0.04285714285714286,0.007142857142857143
Breast cancer,Gradient boosting,14.0,0.03,0.0,0.08,0.0,0.08,0.34123978676527544,0.9843384307784859,0.6492908731592192,0.022222222222222223,0.011111111111111112,0.0125,0.00625,0.007142857142857143,0.0
Breast cancer,Random forest,15.0,0.035,0.0,0.1,0.0,0.1,0.2710773417918495,0.9887300981597921,0.7215992574106325,0.022222222222222223,0.011111111111111112,0.0125,0.00625,0.014285714285714285,0.007142857142857143
Breast cancer,Gradient boosting,15.0,0.025,0.0,0.08,0.0,0.08,0.2955571018592529,0.9874755323214522,0.6968814330060485,0.011111111111111112,0.011111111111111112,0.00625,0.00625,0.007142857142857143,0.0
Breast cancer,Random forest,16.0,0.025,0.0,0.06,0.0,0.06,0.24746027459426792,0.9880125433484256,0.7447478937767028,0.022222222222222223,0.011111111111111112,0.01875,0.00625,0.014285714285714285,0.007142857142857143
Breast cancer,Gradient boosting,16.0,0.03,0.0,0.1,0.0,0.1,0.3141151238090122,0.987577685346877,0.6801842612804552,0.005555555555555556,0.005555555555555556,0.00625,0.00625,0.007142857142857143,0.007142857142857143
Breast cancer,Random forest,17.0,0.03,0.0,0.04,0.0,0.04,0.298644631689527,0.9888673547153811,0.6947803776253341,0.03333333333333333,0.011111111111111112,0.03125,0.00625,0.02142857142857143,0.0
Breast cancer,Gradient boosting,17.0,0.04,0.0,0.12,0.0,0.14,0.3003553102091533,0.9899858588923297,0.6941095759826552,0.044444444444444446,0.011111111111111112,0.01875,0.00625,0.007142857142857143,0.007142857142857143
Breast cancer,Random forest,18.0,0.06,0.02,0.16,0.02,0.16,0.24164315275138082,0.9873729291448484,0.7500534322531206,0.05,0.027777777777777776,0.04375,0.0125,0.02142857142857143,0.007142857142857143
Breast cancer,Gradient boosting,18.0,0.045,0.0,0.14,0.0,0.16,0.29473237671612745,0.9903161077942036,0.6993488296390125,0.03888888888888889,0.016666666666666666,0.025,0.0125,0.0,0.014285714285714285
Breast cancer,Random forest,19.0,0.045,0.0,0.18,0.0,0.18,0.2497185452138504,0.9877179393795129,0.741801844802011,0.027777777777777776,0.0,0.00625,0.0,0.0,0.0
