dataset,domain,seed,n,p_raw,categorical_share,minority_share,test_error,brier,high_confidence_n,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_auc,entropy_error_auc,low_confidence_error_auc,mass_error_auc,monotone_statistic,monotone_p_value,conflict_error_gap,diagnostic_eligible,diagnostic_pass,attribution_seconds,sef_seconds,rows_per_second
Blood transfusion,Healthcare,8,748,4,0.0,0.23796791443850268,0.30916030534351147,0.1991340619998914,131,20,0.5853603603603603,0.642117117117117,0.05675675675675673,0.40135135135135136,0.4466216216216216,0.6173423423423424,0.3876126126126126,-0.04527527040198602,0.914,-0.10058027079303675,1.0,0.0,0.008451199973933399,8.560001151636243e-05,30690.656972935572
Blood transfusion,Healthcare,9,748,4,0.0,0.23796791443850268,0.36259541984732824,0.20874167867649387,131,28,0.550624133148405,0.5405686546463245,-0.01005547850208044,0.5696948682385576,0.6031553398058253,0.569868238557559,0.6263869625520111,0.04113045386125009,0.116,0.03263403263403264,1.0,0.0,0.015014100004918873,0.00011019996600225568,17323.115813871496
Blood transfusion,Healthcare,10,748,4,0.0,0.23796791443850268,0.3282442748091603,0.19586794247911737,131,21,0.5294372294372295,0.4735930735930736,-0.05584415584415586,0.5696969696969696,0.5742424242424242,0.6387445887445888,0.5344155844155843,0.032985390876255155,0.152,0.05681818181818182,1.0,0.0,0.015061600017361343,5.170004442334175e-05,17335.724092614964
Blood transfusion,Healthcare,11,748,4,0.0,0.23796791443850268,0.32061068702290074,0.2019767977882747,134,30,0.6616987179487179,0.6729166666666667,0.011217948717948789,0.5310897435897436,0.5963141025641027,0.725801282051282,0.4549679487179487,0.018990473863014456,0.314,0.10903873744619802,1.0,0.0,0.017084799997974187,0.00010760000441223383,15239.29177797356
Blood transfusion,Healthcare,12,748,4,0.0,0.23796791443850268,0.33969465648854963,0.20886907151723877,131,26,0.5067765567765568,0.4793040293040293,-0.02747252747252743,0.573992673992674,0.539010989010989,0.5631868131868132,0.604945054945055,0.04137192046906077,0.124,0.08712121212121213,1.0,0.0,0.01185890001943335,0.00017630000365898013,21769.47616136766
Blood transfusion,Healthcare,13,748,4,0.0,0.23796791443850268,0.3244274809160305,0.19978656340885653,131,24,0.6991822429906542,0.7174844236760125,0.01830218068535827,0.5307632398753894,0.6080607476635513,0.7213785046728972,0.4047897196261683,0.016147707682594537,0.296,0.05023923444976078,1.0,0.0,0.01588699995772913,0.00012280000373721123,16364.976491311721
Blood transfusion,Healthcare,14,748,4,0.0,0.23796791443850268,0.3053435114503817,0.19104135809631748,132,21,0.7142857142857142,0.6816816816816818,-0.03260403260403244,0.5785070785070785,0.6383526383526384,0.7528957528957528,0.47061347061347064,0.036948603720558255,0.134,0.06577974870657799,1.0,0.0,0.015825399954337627,7.760000880807638e-05,16474.878991836136
German credit,Finance,0,1000,20,0.65,0.30000000000000004,0.29428571428571426,0.17712092465970017,175,22,0.6547831253713607,0.7287581699346406,0.07397504456327986,0.5083184789067142,0.6019013666072489,0.6785502079619727,0.4866310160427807,0.0031672303298595182,0.43,0.0,1.0,0.0,0.04426029999740422,0.0003394000232219696,7847.586415113425
German credit,Finance,1,1000,20,0.65,0.30000000000000004,0.25142857142857145,0.17342755746102573,175,27,0.6966966966966966,0.6954454454454455,-0.0012512512512511398,0.5870870870870871,0.6418918918918919,0.7194694694694694,0.49749749749749744,0.03936414838539689,0.086,0.11363636363636365,1.0,0.0,0.0404833999928087,0.0002209999947808683,8598.579026019597
German credit,Finance,2,1000,20,0.65,0.30000000000000004,0.3171428571428571,0.19775259186177754,175,29,0.6424185167690127,0.6797354747283892,0.03731695795937651,0.5304676428908832,0.6065186584789797,0.6811525743977326,0.5538497874350496,0.014591882591138503,0.314,0.02272727272727272,1.0,0.0,0.052449299953877926,0.0003277999931015074,6631.6641185592725
