dataset,seed,alpha,nominal_accepted_fraction,accepted_fraction,flagged_fraction,all_error,accepted_error,flagged_error,threshold
Breast cancer,0.0,0.1,0.9,0.9181286549707602,0.08187134502923976,0.03508771929824561,0.012738853503184714,0.2857142857142857,0.7555558041879881
Breast cancer,1.0,0.1,0.9,0.9473684210526315,0.05263157894736842,0.03508771929824561,0.024691358024691357,0.2222222222222222,0.8395782887915921
Breast cancer,2.0,0.1,0.9,0.935672514619883,0.06432748538011696,0.029239766081871343,0.01875,0.18181818181818182,0.800576603787874
Breast cancer,3.0,0.1,0.9,0.8888888888888888,0.1111111111111111,0.011695906432748537,0.006578947368421052,0.05263157894736842,0.790979872935652
Breast cancer,4.0,0.1,0.9,0.935672514619883,0.06432748538011696,0.03508771929824561,0.01875,0.2727272727272727,0.8007956281159685
Breast cancer,5.0,0.1,0.9,0.9298245614035088,0.07017543859649122,0.03508771929824561,0.012578616352201259,0.3333333333333333,0.858357299057064
Breast cancer,6.0,0.1,0.9,0.9473684210526315,0.05263157894736842,0.011695906432748537,0.012345679012345678,0.0,0.8001166898215563
Breast cancer,7.0,0.1,0.9,0.9064327485380117,0.0935672514619883,0.04093567251461988,0.012903225806451613,0.3125,0.8295580975919878
Breast cancer,8.0,0.1,0.9,0.9181286549707602,0.08187134502923976,0.06432748538011696,0.01910828025477707,0.5714285714285714,0.8682429344584348
Breast cancer,9.0,0.1,0.9,0.8830409356725146,0.11695906432748537,0.023391812865497075,0.006622516556291391,0.15,0.7267553452113356
Breast cancer,10.0,0.1,0.9,0.9005847953216374,0.09941520467836257,0.029239766081871343,0.012987012987012988,0.17647058823529413,0.7318897210332732
Breast cancer,11.0,0.1,0.9,0.8888888888888888,0.1111111111111111,0.029239766081871343,0.006578947368421052,0.21052631578947367,0.7603863905647354
Breast cancer,12.0,0.1,0.9,0.8888888888888888,0.1111111111111111,0.029239766081871343,0.019736842105263157,0.10526315789473684,0.7866347693942801
Breast cancer,13.0,0.1,0.9,0.9122807017543859,0.08771929824561403,0.029239766081871343,0.00641025641025641,0.26666666666666666,0.7959889380085114
Breast cancer,14.0,0.1,0.9,0.8947368421052632,0.10526315789473684,0.029239766081871343,0.006535947712418301,0.2222222222222222,0.7665571108857137
