dataset,openml_name,openml_version,seed,n,p_raw,test_error,auc,high_confidence_error,high_confidence_low_conflict_error,high_confidence_high_conflict_error,gap,mean_conflict
Blood transfusion,blood-transfusion-service-center,1,3,748,4,0.33969465648854963,0.6648790322580644,0.22137404580152673,0.17647058823529413,0.21212121212121213,0.035650623885918,0.5054267659412729
Blood transfusion,blood-transfusion-service-center,1,4,748,4,0.3893129770992366,0.7386693548387098,0.21374045801526717,0.18421052631578946,0.2727272727272727,0.08851674641148324,0.3901679663628516
Blood transfusion,blood-transfusion-service-center,1,5,748,4,0.3320610687022901,0.7571370967741935,0.2366412213740458,0.14285714285714285,0.24242424242424243,0.09956709956709958,0.45179891863796684
Blood transfusion,blood-transfusion-service-center,1,6,748,4,0.3244274809160305,0.7413709677419354,0.26666666666666666,0.13636363636363635,0.4473684210526316,0.31100478468899523,0.4432648236789803
Blood transfusion,blood-transfusion-service-center,1,7,748,4,0.31297709923664124,0.7814112903225806,0.20454545454545456,0.12121212121212122,0.2727272727272727,0.1515151515151515,0.4614843790110746
Blood transfusion,blood-transfusion-service-center,1,8,748,4,0.30916030534351147,0.798306451612903,0.15267175572519084,0.19148936170212766,0.09090909090909091,-0.10058027079303675,0.41140260995628164
Blood transfusion,blood-transfusion-service-center,1,9,748,4,0.36259541984732824,0.7588709677419354,0.21374045801526717,0.1794871794871795,0.21212121212121213,0.03263403263403264,0.3848076082283726
Blood transfusion,blood-transfusion-service-center,1,10,748,4,0.3282442748091603,0.7868951612903226,0.16030534351145037,0.125,0.18181818181818182,0.05681818181818182,0.4536142686500897
Blood transfusion,blood-transfusion-service-center,1,11,748,4,0.32061068702290074,0.7186693548387096,0.22388059701492538,0.24390243902439024,0.35294117647058826,0.10903873744619802,0.4682820999199372
Blood transfusion,blood-transfusion-service-center,1,12,748,4,0.33969465648854963,0.7403629032258063,0.1984732824427481,0.125,0.21212121212121213,0.08712121212121213,0.4597263756987713
Blood transfusion,blood-transfusion-service-center,1,13,748,4,0.3244274809160305,0.7387096774193548,0.183206106870229,0.13157894736842105,0.18181818181818182,0.05023923444976078,0.4506824292400842
Blood transfusion,blood-transfusion-service-center,1,14,748,4,0.3053435114503817,0.7830645161290323,0.1590909090909091,0.14634146341463414,0.21212121212121213,0.06577974870657799,0.4185119572543466
Blood transfusion,blood-transfusion-service-center,1,15,748,4,0.31679389312977096,0.7672177419354839,0.20610687022900764,0.15217391304347827,0.3333333333333333,0.18115942028985504,0.42269258814057853
Blood transfusion,blood-transfusion-service-center,1,16,748,4,0.3320610687022901,0.7242338709677419,0.20610687022900764,0.16666666666666666,0.2727272727272727,0.10606060606060605,0.4434088178094894
Blood transfusion,blood-transfusion-service-center,1,17,748,4,0.3511450381679389,0.7774193548387097,0.17557251908396945,0.15217391304347827,0.21212121212121213,0.05994729907773386,0.38627788599319884
