dataset,openml_name,openml_version,seed,method,top_quartile_error,error_auc,mean_score
Diabetes,diabetes,1,42,Low confidence,0.08823529411764706,0.5633333333333334,0.12867302189124918
Diabetes,diabetes,1,42,SEF-entropy rank correlation,0.10157801870315168,,
Diabetes,diabetes,1,43,SEF conflict,0.20588235294117646,0.722333000997009,0.26188526938983464
Diabetes,diabetes,1,43,Attribution entropy,0.20588235294117646,0.5493519441674976,0.6739529854680141
Diabetes,diabetes,1,43,Attribution Gini spread,0.17647058823529413,0.5309072781655035,0.660317678303568
Diabetes,diabetes,1,43,Low confidence,0.20588235294117646,0.6106679960119641,0.13245600184634446
Diabetes,diabetes,1,43,SEF-entropy rank correlation,0.18819627353428936,,
Diabetes,diabetes,1,44,SEF conflict,0.11764705882352941,0.5667996011964107,0.24930630286532313
Diabetes,diabetes,1,44,Attribution entropy,0.08823529411764706,0.423728813559322,0.6310134468079286
Diabetes,diabetes,1,44,Attribution Gini spread,0.058823529411764705,0.40279162512462613,0.6445259226493937
Diabetes,diabetes,1,44,Low confidence,0.08823529411764706,0.43120638085742774,0.10643064497805334
Diabetes,diabetes,1,44,SEF-entropy rank correlation,0.09345429714174228,,
Diabetes,diabetes,1,45,SEF conflict,0.11764705882352941,0.6483333333333333,0.2948217479554066
Diabetes,diabetes,1,45,Attribution entropy,0.20588235294117646,0.6222222222222222,0.7431327899879054
Diabetes,diabetes,1,45,Attribution Gini spread,0.17647058823529413,0.5961111111111111,0.7133023619593528
Diabetes,diabetes,1,45,Low confidence,0.20588235294117646,0.6427777777777778,0.14682444544711368
Diabetes,diabetes,1,45,SEF-entropy rank correlation,0.09664422983123598,,
Diabetes,diabetes,1,46,SEF conflict,0.17647058823529413,0.626918536009445,0.28311897964353205
Diabetes,diabetes,1,46,Attribution entropy,0.08823529411764706,0.36717827626918537,0.6760970213759402
Diabetes,diabetes,1,46,Attribution Gini spread,0.058823529411764705,0.31286894923258557,0.6488082414499207
Diabetes,diabetes,1,46,Low confidence,0.11764705882352941,0.49350649350649356,0.1331537291419638
Diabetes,diabetes,1,46,SEF-entropy rank correlation,0.12054921471075994,,
Diabetes,diabetes,1,47,SEF conflict,0.17647058823529413,0.6358024691358025,0.24316268293130758
Diabetes,diabetes,1,47,Attribution entropy,0.11764705882352941,0.5308641975308642,0.6452626975379498
Diabetes,diabetes,1,47,Attribution Gini spread,0.08823529411764706,0.5042735042735043,0.6426496854063152
Diabetes,diabetes,1,47,Low confidence,0.17647058823529413,0.5351377018043685,0.12749147013863432
Diabetes,diabetes,1,47,SEF-entropy rank correlation,-0.01498397709498409,,
Diabetes,diabetes,1,48,SEF conflict,0.14705882352941177,0.5927218344965105,0.3000704605284813
Diabetes,diabetes,1,48,Attribution entropy,0.14705882352941177,0.47258225324027914,0.723840106743902
Diabetes,diabetes,1,48,Attribution Gini spread,0.11764705882352941,0.4386839481555334,0.6905940229881539
Diabetes,diabetes,1,48,Low confidence,0.20588235294117646,0.6156530408773679,0.12203280098210009
Diabetes,diabetes,1,48,SEF-entropy rank correlation,0.19873767797367406,,
Diabetes,diabetes,1,49,SEF conflict,0.17647058823529413,0.6675420168067228,0.2879257147688932
Diabetes,diabetes,1,49,Attribution entropy,0.14705882352941177,0.5640756302521008,0.7205646911332415
Diabetes,diabetes,1,49,Attribution Gini spread,0.11764705882352941,0.525735294117647,0.6954729151461629
Diabetes,diabetes,1,49,Low confidence,0.17647058823529413,0.7589285714285714,0.15138087042302395
Diabetes,diabetes,1,49,SEF-entropy rank correlation,0.2042678763047508,,
Heart disease,heart-statlog,1,0,SEF conflict,0.08333333333333333,0.6956521739130435,0.3539371971224061
Heart disease,heart-statlog,1,0,Attribution entropy,0.0,0.0,0.8703055928033789
Heart disease,heart-statlog,1,0,Attribution Gini spread,0.0,0.0,0.8670376505548489
Heart disease,heart-statlog,1,0,Low confidence,0.0,0.40217391304347827,0.03190024696648039
Heart disease,heart-statlog,1,0,SEF-entropy rank correlation,-0.02149370386452453,,
Heart disease,heart-statlog,1,1,SEF conflict,0.08333333333333333,0.7934782608695652,0.36370371862010886
Heart disease,heart-statlog,1,1,Attribution entropy,0.0,0.3695652173913043,0.8805197748423473
Heart disease,heart-statlog,1,1,Attribution Gini spread,0.08333333333333333,0.3804347826086957,0.8740888212072413
Heart disease,heart-statlog,1,1,Low confidence,0.08333333333333333,0.7282608695652174,0.05013555070249651
Heart disease,heart-statlog,1,1,SEF-entropy rank correlation,0.09020842379504994,,
Heart disease,heart-statlog,1,2,SEF conflict,0.3333333333333333,0.7953488372093024,0.3612571821257317
Heart disease,heart-statlog,1,2,Attribution entropy,0.0,0.2837209302325582,0.8455164228548612
Heart disease,heart-statlog,1,2,Attribution Gini spread,0.0,0.2930232558139535,0.8454599697469857
Heart disease,heart-statlog,1,2,Low confidence,0.25,0.7860465116279071,0.03744455473566661
Heart disease,heart-statlog,1,2,SEF-entropy rank correlation,-0.014546244029526704,,
Heart disease,heart-statlog,1,3,SEF conflict,0.08333333333333333,0.6086956521739131,0.2755490164766164
Heart disease,heart-statlog,1,3,Attribution entropy,0.08333333333333333,0.6739130434782609,0.8661362941526095
Heart disease,heart-statlog,1,3,Attribution Gini spread,0.08333333333333333,0.6195652173913043,0.8669253004633353
Heart disease,heart-statlog,1,3,Low confidence,0.08333333333333333,0.6304347826086957,0.04022557576843854
Heart disease,heart-statlog,1,3,SEF-entropy rank correlation,0.23013460703430308,,
Heart disease,heart-statlog,1,4,SEF conflict,0.16666666666666666,0.9130434782608696,0.28153724457458285
Heart disease,heart-statlog,1,4,Attribution entropy,0.0,0.44565217391304346,0.8221604366004053
Heart disease,heart-statlog,1,4,Attribution Gini spread,0.08333333333333333,0.5,0.8513212963121598
Heart disease,heart-statlog,1,4,Low confidence,0.0,0.608695652173913,0.05837986385272409
Heart disease,heart-statlog,1,4,SEF-entropy rank correlation,-0.19735128093790705,,
Heart disease,heart-statlog,1,5,SEF conflict,0.16666666666666666,0.6931818181818181,0.3731494025086472
Heart disease,heart-statlog,1,5,Attribution entropy,0.08333333333333333,0.36363636363636365,0.9128162901996418
Heart disease,heart-statlog,1,5,Attribution Gini spread,0.08333333333333333,0.38636363636363635,0.8859544024915328
Heart disease,heart-statlog,1,5,Low confidence,0.08333333333333333,0.5909090909090909,0.03456622424958399
Heart disease,heart-statlog,1,5,SEF-entropy rank correlation,0.1828050369083804,,
Heart disease,heart-statlog,1,6,SEF conflict,0.25,0.7767441860465116,0.3111170813087175
Heart disease,heart-statlog,1,6,Attribution entropy,0.08333333333333333,0.42325581395348844,0.867668736415334
Heart disease,heart-statlog,1,6,Attribution Gini spread,0.08333333333333333,0.46976744186046515,0.8643208449079626
Heart disease,heart-statlog,1,6,Low confidence,0.16666666666666666,0.7162790697674418,0.021728424539061878
Heart disease,heart-statlog,1,6,SEF-entropy rank correlation,0.17194963091619625,,
Heart disease,heart-statlog,1,7,SEF conflict,0.08333333333333333,0.6420454545454545,0.31335856827344283
Heart disease,heart-statlog,1,7,Attribution entropy,0.0,0.2897727272727273,0.8809247836004985
Heart disease,heart-statlog,1,7,Attribution Gini spread,0.0,0.29545454545454547,0.8689999216120476
Heart disease,heart-statlog,1,7,Low confidence,0.16666666666666666,0.6761363636363636,0.028443580180282906
Heart disease,heart-statlog,1,7,SEF-entropy rank correlation,-0.07077724706904039,,
Heart disease,heart-statlog,1,8,SEF conflict,0.16666666666666666,0.7185185185185186,0.37107341304271085
Heart disease,heart-statlog,1,8,Attribution entropy,0.0,0.3555555555555555,0.8794264796221173
